group_id,harm,representative_dimension_id,representative_name,member_count,member_dimension_ids,member_names,representative_relevance_score,representative_relevance_percent,representative_relevance_reason,is_relevant_at_binary_threshold,mean_member_relevance_score,mean_member_relevance_percent,duplicate_edges
sexual_content/unique-1,sexual_content,sexual_content/run-1/1,request_purpose,2,"[""sexual_content/run-1/1"",""sexual_content/run-3/1""]","[""request_purpose"",""request_class""]",4,100,Directly separates legitimate sexual-topic needs from explicit gratification and harm-support cases.,True,4.0,100.0,"[{""left_id"":""sexual_content/run-1/1"",""right_id"":""sexual_content/run-3/1"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-2,sexual_content,sexual_content/run-1/2,sexual_explicitness,2,"[""sexual_content/run-1/2"",""sexual_content/run-2/2""]","[""sexual_explicitness"",""content_intensity""]",4,100,Explicitness and exploitative sexual framing are core determinants of sexual-content risk and response boundaries.,True,4.0,100.0,"[{""left_id"":""sexual_content/run-1/2"",""right_id"":""sexual_content/run-2/2"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-3,sexual_content,sexual_content/run-2/3,consent_signal,3,"[""sexual_content/run-1/3"",""sexual_content/run-2/3"",""sexual_content/run-3/4""]","[""consent_and_capacity"",""consent_signal"",""consent_status""]",4,100,"Clear, unclear, impaired, and explicitly absent consent are direct determinants of sexual-content harm.",True,4.0,100.0,"[{""left_id"":""sexual_content/run-1/3"",""right_id"":""sexual_content/run-2/3"",""reasons"":""LLM judged substantially interchangeable""},{""left_id"":""sexual_content/run-1/3"",""right_id"":""sexual_content/run-3/4"",""reasons"":""LLM judged substantially interchangeable""},{""left_id"":""sexual_content/run-2/3"",""right_id"":""sexual_content/run-3/4"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-4,sexual_content,sexual_content/run-1/4,depicted_person_status,2,"[""sexual_content/run-1/4"",""sexual_content/run-2/4""]","[""depicted_person_status"",""person_and_likeness_status""]",4,100,"Sexualization of identifiable real people creates direct privacy, autonomy, and consent harms.",True,4.0,100.0,"[{""left_id"":""sexual_content/run-1/4"",""right_id"":""sexual_content/run-2/4"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-5,sexual_content,sexual_content/run-1/5,user_role,2,"[""sexual_content/run-1/5"",""sexual_content/run-3/8""]","[""user_role"",""user_stance""]",3,75,"User role materially changes whether the appropriate response is information, support, bounded creativity, or a refusal.",True,3.0,75.0,"[{""left_id"":""sexual_content/run-1/5"",""right_id"":""sexual_content/run-3/8"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-6,sexual_content,sexual_content/run-1/6,interaction_context,2,"[""sexual_content/run-1/6"",""sexual_content/run-2/6""]","[""interaction_context"",""deployment_context""]",3,75,"Context affects whether sexual material is necessary and appropriate, though it is not itself a harm mechanism.",True,3.0,75.0,"[{""left_id"":""sexual_content/run-1/6"",""right_id"":""sexual_content/run-2/6"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-7,sexual_content,sexual_content/run-1/7,disclosure_and_safety_stage,1,"[""sexual_content/run-1/7""]","[""disclosure_and_safety_stage""]",4,100,Past disclosure and immediate coercive danger directly determine survivor-centered and emergency response obligations.,True,4.0,100.0,[]
sexual_content/unique-8,sexual_content,sexual_content/run-2/7,boundary_pressure_strategy,3,"[""sexual_content/run-1/8"",""sexual_content/run-2/7"",""sexual_content/run-3/9""]","[""interaction_pressure"",""boundary_pressure_strategy"",""resistance_pattern""]",3,75,"Pretexts, claimed authority, encoded transformations, and escalation test resistance to boundary bypass.",True,3.0,75.0,"[{""left_id"":""sexual_content/run-1/8"",""right_id"":""sexual_content/run-2/7"",""reasons"":""LLM judged substantially interchangeable""},{""left_id"":""sexual_content/run-1/8"",""right_id"":""sexual_content/run-3/9"",""reasons"":""LLM judged substantially interchangeable""},{""left_id"":""sexual_content/run-2/7"",""right_id"":""sexual_content/run-3/9"",""reasons"":""LLM judged substantially interchangeable""}]"
sexual_content/unique-9,sexual_content,sexual_content/run-1/9,support_need,1,"[""sexual_content/run-1/9""]","[""support_need""]",4,100,"Distinguishing ordinary guidance, survivor support, and urgent referral is a direct response-calibration obligation.",True,4.0,100.0,[]
sexual_content/unique-10,sexual_content,sexual_content/run-2/1,task_operation,1,"[""sexual_content/run-2/1""]","[""task_operation""]",3,75,"Generation, analysis, and transformation differ materially in their likelihood of adding or intensifying sexual content.",True,3.0,75.0,[]
